,camera_trap,longitude,latitude,first_name_set_camera,elev,slope,dist_rd,dist_def,camera,canopy_c,canopy_h,basal_a,cabra,tipo_bosque,dist_pob
1,CT-PNM-1-1,-80.72053,-1.556,Laura,240.2,15.38475272,2300,2480.410149,CT-PNM-1-1,47,5.875,15.43202508,no,deci_cord,8128
2,CT-PNM-1-10,-80.68375,-1.575,Diego,628,22.20829723,5500,6800.743672,CT-PNM-1-10,65.25,4.5,8.057200153,no,semi_bajo,1386
3,CT-PNM-1-11,-80.72708,-1.52958,Laura,163.0764,16.87324046,350,777.0243062,CT-PNM-1-11,0,0,0,no,bos_bajo,5613
4,CT-PNM-1-12,-80.71925,-1.5745,Violeta,512.22,20.49022765,4500,4443.105119,CT-PNM-1-12,75,3.75,3.58495671,no,semi_bajo,41034
5,CT-PNM-1-13,-80.72831,-1.54761,Diego,262.328,12.94883728,1600,1287.464224,CT-PNM-1-13,11,4.875,10.96574994,si,deci_cord,3071
6,CT-PNM-1-14,-80.73681,-1.55556,Diego,272.884832,26.36886736,2700,2079.333787,CT-PNM-1-14,56,6.4,16.40286797,si,semi_cord,757
7,CT-PNM-1-15,-80.77347,-1.52003,Laura,28.69248,1.471330857,50,75.77782993,CT-PNM-1-15,91,5.583333333,8.500843519,si,inter,1950
8,CT-PNM-1-16,-80.7645,-1.52917,Violeta,49.7232,4.290245668,1300,812.9692074,CT-PNM-1-16,18,2.875,7.71899669,si,semi_bajo,1974
9,CT-PNM-1-17,-80.75544,-1.52008,Laura,49.697248,6.373743589,500,550.6302118,CT-PNM-1-17,0,3.1875,4.346909218,si,bos_bajo,885
10,CT-PNM-1-18,-80.76456,-1.51061,Laura,78.059008,3.204610729,550,1202.652431,CT-PNM-1-18,1,3.116666667,5.723596257,si,bos_bajo,2518
11,CT-PNM-1-19,-80.74658,-1.54856,Diego,116.095424,4.391929992,2700,1803.866952,CT-PNM-1-19,36,4.5,7.909982175,si,semi_cord,4208
12,CT-PNM-1-2,-80.69222,-1.60014,Laura,508.281072,27.65820847,8000,6612.15308,CT-PNM-1-2,82,6.125,4.710975299,no,semi_bajo,10249
13,CT-PNM-1-20,-80.72792,-1.56417,Diego,358.644096,16.45614662,3500,3109.465429,CT-PNM-1-20,88,8,7.138082506,si,semi_cord,13134
14,CT-PNM-1-3,-80.69364,-1.61953,Laura,335.512896,7.111532976,10000,5536.44938,CT-PNM-1-3,86,8.875,7.693134072,no,inter,9203
15,CT-PNM-1-4,-80.70067,-1.61028,Laura,646.972,23.02389699,8500,5618.324712,CT-PNM-1-4,83,8.775,7.11420932,no,semi_bajo,9472
16,CT-PNM-1-5,-80.68344,-1.61103,Laura,330.19392,15.78225758,9500,5511.099201,CT-PNM-1-5,59,8.75,3.783899924,no,deci_cord,6268
17,CT-PNM-1-6,-80.69339,-1.58328,Diego,623.343872,32.44881224,6000,6698.267252,CT-PNM-1-6,46,9.125,8.16661892,no,semi_bajo,6271
18,CT-PNM-1-7,-80.71028,-1.58294,Diego,500.588448,20.34233349,5500,5334.854673,CT-PNM-1-7,25,7.625,11.16071429,no,semi_cord,7402
19,CT-PNM-1-8,-80.68386,-1.59192,Laura,618.148768,16.67271772,7500,7404.089,CT-PNM-1-8,58,5,3.000063662,no,semi_bajo,7216
20,CT-PNM-1-9,-80.702,-1.59228,Laura,539.568,8.246605717,6500,5740.137819,CT-PNM-1-9,95,23,18.35649032,no,semi_bajo,5616
21,CT-PNM-2-1,-80.65672,-1.63741,Laura,316.93712,13.61277939,13000,1680.259225,CT-PNM-2-1,13.5,6.75,6.523347976,no,semi_cord,17374
22,CT-PNM-2-10,-80.68347,-1.66475,Laura,154.3056,15.09829567,12000,904.4996525,CT-PNM-2-10,47.5,6,4.754742806,no,semi_cord,9548
23,CT-PNM-2-11,-80.65658,-1.6013,Violeta,355.984,22.46524422,10000,4317.792133,CT-PNM-2-11,65,5.375,4.092261905,no,semi_cord,16225
24,CT-PNM-2-12,-80.69244,-1.67361,Laura,158.565728,21.22275745,10500,1140.723154,CT-PNM-2-12,7.25,7.25,7.619525083,no,semi_bajo,15206
25,CT-PNM-2-13,-80.70158,-1.66463,Laura,512.192768,7.832648071,9500,2093.805605,CT-PNM-2-13,45,9.75,6.314457601,no,deci_cord,16366
26,CT-PNM-2-14,-80.64777,-1.66533,Laura,268.055168,22.49296092,16000,877.3790447,CT-PNM-2-14,4.25,4.75,11.29201681,si,semi_bajo,11960
27,CT-PNM-2-15,-80.66588,-1.6295,Laura,523.1328,17.41332115,12000,2769.637664,CT-PNM-2-15,85.75,7.75,5.383403361,no,semi_bajo,12648
28,CT-PNM-2-16,-80.64753,-1.6283,Violeta,355.24032,28.29067095,13000,2858.164816,CT-PNM-2-16,22.5,10.625,10.74293354,no,semi_bajo,14479
29,CT-PNM-2-17,-80.64747,-1.64666,Laura,316.44112,18.54540185,15000,1160.69475,CT-PNM-2-17,18.75,5.125,9.825805322,si,semi_bajo,11372
30,CT-PNM-2-18,-80.6835,-1.62847,Violeta,295.1384,19.07597995,11000,4031.963369,CT-PNM-2-18,9.5,6,5.092946269,si,semi_bajo,16217
31,CT-PNM-2-19,-80.71058,-1.67338,Laura,152.444384,26.0337471,8500,706.0282299,CT-PNM-2-19,1.75,2.875,8.654029794,no,semi_bajo,11314
32,CT-PNM-2-2,-80.71916,-1.68377,Laura,112.10512,5.476220208,7000,266.8228879,CT-PNM-2-2,30,8,5.56842055,no,inter,12228
33,CT-PNM-2-20,-80.65658,-1.61941,Violeta,327.178784,10.92889437,12000,3683.651167,CT-PNM-2-20,33.25,7.4,15.62102114,no,semi_cord,2099
34,CT-PNM-2-3,-80.69275,-1.63744,Violeta,352.4472,11.69058062,12000,4104.516767,CT-PNM-2-3,59.5,8.5,8.134788006,si,semi_bajo,15014
35,CT-PNM-2-4,-80.65663,-1.6555,Violeta,173.1296,8.57580399,15000,335.1991977,CT-PNM-2-4,25.5,4.25,7.108241024,si,semi_bajo,14498
36,CT-PNM-2-5,-80.67458,-1.65558,Laura,321.312,16.35937091,13000,1958.474217,CT-PNM-2-5,17.5,7.5,6.386077158,no,semi_cord,16455
37,CT-PNM-2-6,-80.6745,-1.67361,Laura,159.1848,2.144329343,13000,403.0597028,CT-PNM-2-6,26.5,8.5,11.14877769,si,deci_cord,15692
38,CT-PNM-2-7,-80.66558,-1.66461,Laura,217.007904,8.642349191,14000,605.6871656,CT-PNM-2-7,18.75,6.5,14.88095238,no,semi_cord,13326
39,CT-PNM-2-8,-80.68355,-1.64638,Violeta,244.20576,24.21208193,13000,2942.326796,CT-PNM-2-8,2.25,7.25,8.005474917,si,semi_cord,10920
40,CT-PNM-2-9,-80.64755,-1.61025,Violeta,379.2,19.62793524,12000,3456.673176,CT-PNM-2-9,10.75,5.5,7.19776547,no,semi_bajo,15344
41,CT-PNM-3-01,-80.692,-1.509,Laura,395.75,22.67986389,600,5244.008083,CT-PNM-3-1,23.75,4.075,4.834320092,si,deci_cord,8844
42,CT-PNM-3-02,-80.666,-1.447,Laura,378.36,4.108399925,5000,1786.569077,CT-PNM-3-2,34.5,3.125,3.616787624,si,inter,1157
43,CT-PNM-3-03,-80.71,-1.529,Laura,144.55,24.13019774,350,2451.021398,CT-PNM-3-3,16,5.575,8.582410237,si,deci_cord,3332
44,CT-PNM-3-04,-80.683,-1.501,Laura,282.26,19.42055532,750,6574.484963,CT-PNM-3-4,7.75,5.5,6.829720525,si,deci_cord,8179
45,CT-PNM-3-05,-80.728,-1.601,Laura,308.75,17.25275397,7500,2689.013307,CT-PNM-3-5,82.5,8.5,7.788626814,no,deci_cord,8292
46,CT-PNM-3-06,-80.674,-1.456,Laura,374.98,10.23591699,4500,2780.789079,CT-PNM-3-6,0,0,0,si,inter,1024
47,CT-PNM-3-07,-80.691,-1.529,Diego,413.55,29.15402841,1200,4517.953394,CT-PNM-3-7,18.25,5.5,6.823752228,si,semi_cord,1826
48,CT-PNM-3-08,-80.685,-1.52,Diego,348.25,21.54973953,900,5405.743602,CT-PNM-3-8,12.5,5.25,4.277279093,si,inter,2453
49,CT-PNM-3-09,-80.81,-1.518,Diego,146.55,9.751695631,3500,2197.199952,CT-PNM-3-9,18.75,3.45,5.172523555,no,deci_bajo,3345
50,CT-PNM-3-10,-80.674,-1.511,Diego,226.05,21.95119139,800,6355.532474,CT-PNM-3-10,13.25,11.75,5.291889483,si,deci_cord,4693
51,CT-PNM-3-11,-80.665,-1.502,Diego,185.25,10.74625133,400,5012.020719,CT-PNM-3-11,12.5,9.75,11.24029157,si,inter,2043
52,CT-PNM-3-13,-80.808,-1.5284,Laura,80.87,17.02941792,2100,1019.869963,CT-PNM-3-13,22.5,4.25,3.143302776,no,deci_bajo,5392
53,CT-PNM-3-14,-80.71,-1.456,Diego,385.2,21.76112592,5000,4548.495336,CT-PNM-3-14,27.5,3.75,5.530621339,no,semi_bajo,3851
54,CT-PNM-3-15,-80.721,-1.4478,Laura,378.458,7.508000512,3500,4464.310815,CT-PNM-3-15,0,0,0,no,deci_cord,781
55,CT-PNM-3-16,-80.746,-1.529,Laura,52.3,0.897156238,850,669.3329554,CT-PNM-3-16,48.75,7.5,7.878151261,si,inter,2451
56,CT-PNM-3-17,-80.719,-1.538,Diego,78.68,2.913764359,300,1359.65543,CT-PNM-3-17,48.75,5,11.49096002,si,semi_bajo,6805
57,CT-PNM-3-18,-80.692,-1.456,Diego,597.73,17.59959513,6000,3694.912132,CT-PNM-3-18,0,0,0,si,deci_cord,2121
58,CT-PNM-3-19,-80.782,-1.5469,Diego,256.832,15.18101305,1300,1909.499159,CT-PNM-3-19,22,3.5,3.073672651,no,semi_bajo,9383
59,CT-PNM-3-20,-80.719,-1.61,Laura,334.75,17.60070536,8500,3579.73334,CT-PNM-3-20,45,8.875,5.888719124,no,semi_bajo,3892
